ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
115034;GM0737;2002MM01;   31413;      31;      36;     118;      97;      21;     112;     104;       8;;       1;    0.00;       1;    0.00;   31414
115035;GM0737;2002MM02;   31414;      23;      15;     136;      95;      41;      87;      85;       2;;      57;    0.18;      58;    0.18;   31471
115036;GM0737;2002MM03;   31471;      27;      29;     102;      98;       4;      98;      92;       6;;       2;    0.01;      60;    0.19;   31473
115037;GM0737;2002MM04;   31473;      26;      30;     109;      85;      24;      65;      65;       0;;      40;    0.13;     100;    0.32;   31513
115038;GM0737;2002MM05;   31513;      39;      25;      91;      79;      12;     114;     113;       1;;      -9;   -0.03;      91;    0.29;   31504
115039;GM0737;2002MM06;   31504;      24;      22;     102;      90;      12;      86;      76;      10;;      18;    0.06;     109;    0.35;   31522
115040;GM0737;2002MM07;   31522;      36;      30;     155;     128;      27;     113;     109;       4;;      48;    0.15;     157;    0.50;   31570
115041;GM0737;2002MM08;   31570;      28;      27;     126;     112;      14;     130;     119;      11;;      -3;   -0.01;     154;    0.49;   31567
115042;GM0737;2002MM09;   31567;      38;      27;      89;      70;      19;     113;     112;       1;;     -13;   -0.04;     141;    0.45;   31554
115043;GM0737;2002MM10;   31554;      36;      27;      93;      83;      10;      82;      73;       9;;      20;    0.06;     161;    0.51;   31574
115044;GM0737;2002MM11;   31574;      35;      25;     117;     112;       5;      90;      85;       5;;      37;    0.12;     198;    0.63;   31611
115045;GM0737;2002MM12;   31611;      35;      19;     125;     105;      20;      69;      67;       2;      13;      85;    0.27;     283;    0.90;   31696
115046;GM0737;2002JJ00;   31413;     378;     312;    1363;    1154;     209;    1159;    1100;      59;      13;     283;    0.90;     283;    0.90;   31696
115047;GM0737;2003MM01;   31696;      27;      24;     127;     125;       2;     109;     109;       0;;      21;    0.07;      21;    0.07;   31717
115048;GM0737;2003MM02;   31717;      25;      26;     114;     105;       9;      80;      79;       1;;      33;    0.10;      54;    0.17;   31750
115049;GM0737;2003MM03;   31750;      34;      28;     102;      90;      12;      82;      73;       9;;      26;    0.08;      80;    0.25;   31776
115050;GM0737;2003MM04;   31776;      43;      38;      74;      66;       8;      79;      79;       0;;       0;    0.00;      80;    0.25;   31776
115051;GM0737;2003MM05;   31776;      35;      24;     102;      94;       8;      76;      75;       1;;      37;    0.12;     117;    0.37;   31813
115052;GM0737;2003MM06;   31813;      24;      24;     120;     103;      17;      93;      71;      22;;      27;    0.08;     144;    0.45;   31840
115053;GM0737;2003MM07;   31840;      35;      22;     113;      90;      23;     100;      95;       5;;      26;    0.08;     170;    0.54;   31866
115054;GM0737;2003MM08;   31866;      20;      25;     138;     130;       8;     113;      97;      16;;      20;    0.06;     190;    0.60;   31886
115055;GM0737;2003MM09;   31886;      18;      22;     107;      94;      13;     120;     117;       3;;     -17;   -0.05;     173;    0.55;   31869
115056;GM0737;2003MM10;   31869;      35;      23;      88;      84;       4;      80;      82;      -2;;      20;    0.06;     193;    0.61;   31889
115057;GM0737;2003MM11;   31889;      22;      29;     113;     103;      10;      91;      91;       0;;      15;    0.05;     208;    0.66;   31904
115058;GM0737;2003MM12;   31904;      44;      33;     155;     149;       6;      96;      92;       4;     -11;      59;    0.18;     267;    0.84;   31963
115059;GM0737;2003JJ00;   31696;     362;     318;    1353;    1233;     120;    1119;    1060;      59;     -11;     267;    0.84;     267;    0.84;   31963
115060;GM0737;2004MM01;   31963;      35;      38;      97;      94;       3;     101;      99;       2;;      -7;   -0.02;      -7;   -0.02;   31956
115061;GM0737;2004MM02;   31956;      33;      18;      73;      64;       9;      75;      75;       0;;      13;    0.04;       6;    0.02;   31969
115062;GM0737;2004MM03;   31969;      26;      21;     119;     107;      12;      84;      80;       4;;      40;    0.13;      46;    0.14;   32009
115063;GM0737;2004MM04;   32009;      36;      31;      80;      77;       3;      82;      77;       5;;       3;    0.01;      49;    0.15;   32012
115064;GM0737;2004MM05;   32012;      27;      22;      89;      88;       1;     100;      95;       5;;      -6;   -0.02;      43;    0.13;   32006
115065;GM0737;2004MM06;   32006;      29;      23;      98;      93;       5;     103;     106;      -3;;       1;    0.00;      44;    0.14;   32007
115066;GM0737;2004MM07;   32007;      35;      31;     119;     115;       4;      84;      69;      15;;      39;    0.12;      83;    0.26;   32046
115067;GM0737;2004MM08;   32046;      27;      26;     145;     130;      15;     107;     108;      -1;;      39;    0.12;     122;    0.38;   32085
115068;GM0737;2004MM09;   32085;      29;      34;      88;      79;       9;     139;      91;      48;;     -56;   -0.17;      66;    0.21;   32029
115069;GM0737;2004MM10;   32029;      39;      29;     125;     119;       6;     129;     119;      10;;       6;    0.02;      72;    0.23;   32035
115070;GM0737;2004MM11;   32035;      23;      32;      69;      63;       6;      64;      65;      -1;;      -4;   -0.01;      68;    0.21;   32031
115071;GM0737;2004MM12;   32031;      22;      30;     107;     103;       4;     117;     114;       3;       3;     -15;   -0.05;      53;    0.17;   32016
115072;GM0737;2004JJ00;   31963;     361;     335;    1209;    1132;      77;    1185;    1098;      87;       3;      53;    0.17;      53;    0.17;   32016
115073;GM0737;2005MM01;   32016;      34;      27;      88;      82;       6;     103;     102;       1;;      -8;   -0.02;      -8;   -0.02;   32008
115074;GM0737;2005MM02;   32008;      31;      31;     108;     104;       4;      64;      65;      -1;;      44;    0.14;      36;    0.11;   32052
115075;GM0737;2005MM03;   32052;      32;      22;      86;      83;       3;     110;     104;       6;;     -14;   -0.04;      22;    0.07;   32038
115076;GM0737;2005MM04;   32038;      35;      25;     109;      97;      12;      91;      91;       0;;      28;    0.09;      50;    0.16;   32066
115077;GM0737;2005MM05;   32066;      31;      29;     116;     115;       1;      80;      75;       5;;      38;    0.12;      88;    0.27;   32104
115078;GM0737;2005MM06;   32104;      29;      23;     113;     112;       1;     103;      92;      11;;      16;    0.05;     104;    0.32;   32120
115079;GM0737;2005MM07;   32120;      33;      30;     126;     120;       6;      96;      98;      -2;;      33;    0.10;     137;    0.43;   32153
115080;GM0737;2005MM08;   32153;      26;      24;      97;      94;       3;     127;     125;       2;;     -28;   -0.09;     109;    0.34;   32125
115081;GM0737;2005MM09;   32125;      30;      23;     134;     125;       9;     121;     114;       7;;      20;    0.06;     129;    0.40;   32145
115082;GM0737;2005MM10;   32145;      33;      24;      98;      93;       5;     127;     124;       3;;     -20;   -0.06;     109;    0.34;   32125
115083;GM0737;2005MM11;   32125;      28;      32;     135;     127;       8;     100;      97;       3;;      31;    0.10;     140;    0.44;   32156
115084;GM0737;2005MM12;   32156;      26;      32;     113;     109;       4;     122;     112;      10;       1;     -14;   -0.04;     126;    0.39;   32142
115085;GM0737;2005JJ00;   32016;     368;     322;    1323;    1261;      62;    1244;    1199;      45;       1;     126;    0.39;     126;    0.39;   32142
115086;GM0737;2006MM01;   32142;      25;      36;      99;      96;       3;     106;     102;       4;;     -18;   -0.06;     -18;   -0.06;   32124
115087;GM0737;2006MM02;   32124;      26;      34;     100;      94;       6;     129;     128;       1;;     -37;   -0.12;     -55;   -0.17;   32087
115088;GM0737;2006MM03;   32087;      27;      40;     161;     147;      14;      90;      89;       1;;      58;    0.18;       3;    0.01;   32145
115089;GM0737;2006MM04;   32145;      37;      40;      97;      96;       1;      76;      71;       5;;      18;    0.06;      21;    0.07;   32163
115090;GM0737;2006MM05;   32163;      25;      29;     133;     131;       2;     105;     102;       3;;      24;    0.07;      45;    0.14;   32187
115091;GM0737;2006MM06;   32187;      31;      27;      97;      83;      14;     113;     109;       4;;     -12;   -0.04;      33;    0.10;   32175
115092;GM0737;2006MM07;   32175;      32;      23;     161;     157;       4;      74;      76;      -2;;      96;    0.30;     129;    0.40;   32271
115093;GM0737;2006MM08;   32271;      25;      27;     126;     118;       8;      97;     100;      -3;;      27;    0.08;     156;    0.49;   32298
115094;GM0737;2006MM09;   32298;      31;      34;     122;     110;      12;     108;     108;       0;;      11;    0.03;     167;    0.52;   32309
115095;GM0737;2006MM10;   32309;      22;      28;     121;     113;       8;     107;     111;      -4;;       8;    0.02;     175;    0.54;   32317
115096;GM0737;2006MM11;   32317;      26;      20;     107;     102;       5;     118;     114;       4;;      -5;   -0.02;     170;    0.53;   32312
115097;GM0737;2006MM12;   32312;      36;      26;     108;     101;       7;      94;      95;      -1;     -14;      10;    0.03;     180;    0.56;   32322
115098;GM0737;2006JJ00;   32142;     343;     364;    1432;    1348;      84;    1217;    1205;      12;     -14;     180;    0.56;     180;    0.56;   32322
